description,type,name,region_s,year,price
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,London,1989,9.9499998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,South East,1989,7.5
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,South West,1989,8.5200005
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,East Anglia,1989,5.6500001
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,East Midlands,1989,12.79
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,West Midlands,1989,4.9899998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,Yorkshire & Humber,1989,6.4899998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,North West,1989,8.5
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,North,1989,5.9899998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,Wales,1989,9.9899998
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,Scotland,1989,4.5
CONSTRUCTION TOY: SPEC KIT NO,Presents,Meccano,Northern Ireland,1989,9.0949993
MEN'S SOCKS,Presents,"Socks, man's",Catalogue collections,1989,2.7750001
MEN'S SOCKS,Presents,"Socks, man's",London,1989,2.25
MEN'S SOCKS,Presents,"Socks, man's",South East,1989,2.25
MEN'S SOCKS,Presents,"Socks, man's",South West,1989,2.25
MEN'S SOCKS,Presents,"Socks, man's",East Anglia,1989,2.75
MEN'S SOCKS,Presents,"Socks, man's",East Midlands,1989,1.99
MEN'S SOCKS,Presents,"Socks, man's",West Midlands,1989,1.99
MEN'S SOCKS,Presents,"Socks, man's",Yorkshire & Humber,1989,2.5
MEN'S SOCKS,Presents,"Socks, man's",North West,1989,1.99
MEN'S SOCKS,Presents,"Socks, man's",North,1989,1.75
MEN'S SOCKS,Presents,"Socks, man's",Wales,1989,1.99
MEN'S SOCKS,Presents,"Socks, man's",Scotland,1989,2.95
MEN'S SOCKS,Presents,"Socks, man's",Northern Ireland,1989,2.5
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,London,1989,2.1500001
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,South East,1989,.89999998
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,South West,1989,.85000002
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,East Anglia,1989,.99000001
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,East Midlands,1989,.89999998
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,West Midlands,1989,.85000002
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,Yorkshire & Humber,1989,.79000002
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,North West,1989,.88999999
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,North,1989,.94999999
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,Wales,1989,.99000001
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,Scotland,1989,.79000002
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,Northern Ireland,1989,2.95
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,London,1990,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,South East,1990,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,South West,1990,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,East Anglia,1990,8.9799995
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,East Midlands,1990,8.9799995
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,West Midlands,1990,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Yorkshire & Humber,1990,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,North West,1990,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,North,1990,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Wales,1990,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Scotland,1990,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Northern Ireland,1990,8.7150002
5 CIGARS: SPECIFY BRAND,Presents,Cigars,London,1990,1.26
