time_period,ref_area,indicator,breakdown,unit_measure,value
2015,LU,desi_3a2_iu,ind_total,pc_ind,0.932896
2015,SI,desi_3a2_iu,ind_total,pc_ind,0.680801
2015,UK,desi_3a2_iu,ind_total,pc_ind,0.894821
2015,AT,desi_3b1_news,ind_total,pc_ind_iu3,0.669293
2015,CY,desi_3b1_news,ind_total,pc_ind_iu3,0.72047
2015,DE,desi_3b1_news,ind_total,pc_ind_iu3,0.702373
2015,ES,desi_3b1_news,ind_total,pc_ind_iu3,0.776076
2015,FI,desi_3b1_news,ind_total,pc_ind_iu3,0.847669
2015,IT,desi_3b1_news,ind_total,pc_ind_iu3,0.602837
2015,SI,desi_3b1_news,ind_total,pc_ind_iu3,0.816352
2015,UK,desi_3b1_news,ind_total,pc_ind_iu3,0.64797
2015,CY,desi_3b4_vidcall,ind_total,pc_ind_iu3,0.592195
2015,EE,desi_3b4_vidcall,ind_total,pc_ind_iu3,0.506951
2015,LU,desi_3b4_vidcall,ind_total,pc_ind_iu3,0.419329
2015,LV,desi_3b4_vidcall,ind_total,pc_ind_iu3,0.569516
2015,PT,desi_3b4_vidcall,ind_total,pc_ind_iu3,0.373723
2015,RO,desi_3b4_vidcall,ind_total,pc_ind_iu3,0.424911
2015,SE,desi_3b4_vidcall,ind_total,pc_ind_iu3,0.524722
2015,AT,desi_3b5_socnet,ind_total,pc_ind_iu3,0.546174
2015,DE,desi_3b5_socnet,ind_total,pc_ind_iu3,0.491149
2015,ES,desi_3b5_socnet,ind_total,pc_ind_iu3,0.670906
2015,FI,desi_3b5_socnet,ind_total,pc_ind_iu3,0.6014
2015,FR,desi_3b5_socnet,ind_total,pc_ind_iu3,0.460061
2015,HR,desi_3b5_socnet,ind_total,pc_ind_iu3,0.589784
2015,IE,desi_3b5_socnet,ind_total,pc_ind_iu3,0.63289
2015,IT,desi_3b5_socnet,ind_total,pc_ind_iu3,0.584357
2015,PL,desi_3b5_socnet,ind_total,pc_ind_iu3,0.55258
2015,SI,desi_3b5_socnet,ind_total,pc_ind_iu3,0.584148
2015,BG,desi_3c3_sell,ind_total,pc_ind_iu3,0.120135
2015,DK,desi_3c3_sell,ind_total,pc_ind_iu3,0.266546
2015,FR,desi_3c3_sell,ind_total,pc_ind_iu3,0.34606
2015,HU,desi_3c3_sell,ind_total,pc_ind_iu3,0.235859
2015,LT,desi_3c3_sell,ind_total,pc_ind_iu3,0.0505
2015,NL,desi_3c3_sell,ind_total,pc_ind_iu3,0.30653
2015,CZ,desi_2b2_fictspec,total,pc_ind_fem_emp,0.00850149
2015,EL,desi_2b2_fictspec,total,pc_ind_fem_emp,0.00691037
2015,EU,desi_2b2_fictspec,total,pc_ind_fem_emp,0.0121639
2015,MT,desi_2b2_fictspec,total,pc_ind_fem_emp,0.0115274
2015,SK,desi_2b2_fictspec,total,pc_ind_fem_emp,0.00522496
2015,CY,desi_2b3_ictg,total,pc_grad,0.039
2015,EE,desi_2b3_ictg,total,pc_grad,0.053
2015,LV,desi_2b3_ictg,total,pc_grad,0.036
2015,PT,desi_2b3_ictg,total,pc_grad,0.013
2015,SE,desi_2b3_ictg,total,pc_grad,0.034
2015,UK,desi_2b3_ictg,total,pc_grad,0.036
2015,BE,desi_4a2_socmed,ent_all_xfin,pc_ent,
2015,UK,desi_4a2_socmed,ent_all_xfin,pc_ent,
2015,EL,desi_4a3_bigdat,ent_all_xfin,pc_ent,
2015,EU,desi_4a3_bigdat,ent_all_xfin,pc_ent,
2015,HR,desi_4a3_bigdat,ent_all_xfin,pc_ent,
2015,IT,desi_4a3_bigdat,ent_all_xfin,pc_ent,
2015,SI,desi_4a3_bigdat,ent_all_xfin,pc_ent,
2015,SK,desi_4a3_bigdat,ent_all_xfin,pc_ent,
2015,PL,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,
2015,SI,desi_4b2_ecomturn,ent_sm_xfin,pc_turn,
2015,BE,desi_2a1_bds,ind_total,pc_ind,
2015,EE,desi_2a1_bds,ind_total,pc_ind,
2015,LU,desi_2a1_bds,ind_total,pc_ind,
2015,MT,desi_2a1_bds,ind_total,pc_ind,
2015,PT,desi_2a1_bds,ind_total,pc_ind,
2015,SE,desi_2a1_bds,ind_total,pc_ind,
2015,SK,desi_2a1_bds,ind_total,pc_ind,
2015,CY,desi_2a2_abds,ind_total,pc_ind,
2015,EE,desi_2a2_abds,ind_total,pc_ind,
2015,ES,desi_2a2_abds,ind_total,pc_ind,
2015,FI,desi_2a2_abds,ind_total,pc_ind,
2015,FR,desi_2a2_abds,ind_total,pc_ind,
2015,LU,desi_2a2_abds,ind_total,pc_ind,
2015,PT,desi_2a2_abds,ind_total,pc_ind,
2015,UK,desi_2a2_abds,ind_total,pc_ind,
2015,BE,desi_2a3_abss,ind_total,pc_ind,
2015,LU,desi_2a3_abss,ind_total,pc_ind,
2015,MT,desi_2a3_abss,ind_total,pc_ind,
2015,SK,desi_2a3_abss,ind_total,pc_ind,
2015,BG,desi_3b2_mvg,ind_total,pc_ind_iu3,
2015,DK,desi_3b2_mvg,ind_total,pc_ind_iu3,
2015,EL,desi_3b2_mvg,ind_total,pc_ind_iu3,
2015,HR,desi_3b2_mvg,ind_total,pc_ind_iu3,
2015,HU,desi_3b2_mvg,ind_total,pc_ind_iu3,
2015,IT,desi_3b2_mvg,ind_total,pc_ind_iu3,
2015,LT,desi_3b2_mvg,ind_total,pc_ind_iu3,
